states,x,y
Acre,-240,52
Alagoas,267,50
Amapa,42,228
Amazonas,-138,140
Bahia,162,11
Ceará,210,135
Distrito Federal,92,-30
Espirito Santo,203,-99
Goiás,46,-46
Maranhão,114,135
Mato Grosso,-44,10
Mato Grosso Do Sul,-37,-95
Minas Gerais,112,-73
Pará,-1,134
Paraiba,255,88
Paraná,18,-166
Pernambuco,244,69
Piauí,153,84
Rio De Janeiro,161,-138
Rio Grande Do Norte,256,114
Rio Grande Do Sul,16,-239
Rondônia,-149,34
Roraima,-100,241
Santa Catarina,62,-202
São Paulo,78,-143
Sergipe,248,31
Tocantins,68,40